Entitat,Usuari Instagram,Usuari X,Categoria
Ajuntament de Salt,@salt,,Institucional
El Canal (Girona),@elcanalsalt,,Cultura
Biblioteques de Salt,@bibliotequesdesalt,,Cultura
Temporada Alta,@temporada_alta,,Cultura
Teatre de Salt,@teatredesalt,,Cultura
EMO de Salt (Escola Municipal de Música),@emodesalt,,Cultura / Educació
Estació Jove Salt,@estaciojovesalt,,Joventut
Alcalde Jordi Viñas,@vinasxifra,,Institucional
Vila de Salt (web/info),@viladesalt,,Institucional
Diputació de Girona,@diputaciogirona,,Institucional
Sala La Mirona,@salalamirona,,Cultura
Generalitat de Catalunya,@gencat,,Institucional
Departament de Salut (Generalitat),@salut_cat,,Salut
El Viver Salt,@elviversalt,,Entitat / Social
Fàbrica Jove Salt,@fabricajovesalt,,Joventut
Marrecs de Salt,@marrecs,,Cultura
Escola d'Art de Salt,@escoladart,,Cultura / Educació
Mercat de Salt,@mercatdesalt,,Comerç
EUSES (Escola Universitària de la Salut i l'Esport),@euses_oficial,,Educació
Universitat de Girona,@univgirona,,Educació
Gegants de Salt,@gegantsdesalt,,Cultura
Diputació Salut (Dipsalut),@dipsalut,,Salut
Consell Comarcal del Gironès,@ccgirones,,Institucional
Núria Heras Colomer,@nuriaherascolomer,,Institucional
Consorci per la Normalització Lingüística Girona,@cnlgirona,,Educació / Llengua
Emergències Catalunya,@emergenciescat,,Emergències
Donar Sang Girona,@donarsanggirona,,Salut
Ateneu de Salt,@ateneusalt,,Cultura
Som de Salt,@somdesalt,,Entitat / Social
La Marató TV3,@lamaratotv3,,Solidaritat
Ajuntament de Girona,@girona_cat,,Institucional
Donar Sang,@donarsang,,Salut
Centre de Recursos Gent Gran Salt,@centre_de_recursos,,Social
Centre d'Estudis del Gironès,@cegirones,,Cultura
Ateneu Coma Cros,@ateneucomacros,,Cultura
Salt Gimnàstic Club,@saltgimnasticclub,,Esports
Protecció Civil Salt,@protecciocivilsalt,,Emergències
IDIBGI (Institut d'Investigació Biomèdica de Girona),@idibgi,,Recerca
Salt Jove,@saltjove,,Joventut
Policia Local Salt,@policia_local_salt,,Seguretat
Meteocat,@meteocat,,Meteorologia
Juguem? Salt,@juguemsalt,,Infants / Social
Club Bàsquet Salt,@clubbasquetsalt,,Esports
Voluntariat Salt,@voluntariatsalt,,Social
Oncollliga Girona,@oncolligagi,,Salut
Salt Ocupació,@saltocupacio,,Ocupació
Pindoles Festival,@pindolesfestival,,Cultura
ICS Girona,@icsgirona,,Salut
Gent Activa Salt,@gentactiva,,Social / Gent Gran
Comunalitat Güell,@comunalitatguell,,Social
SIAD Gironès-Salt,@siad_gironessalt,,Social
Fàbrica Jove,@fabricajove,,Joventut
Departament de Territori (Generalitat),@territoricat,,Institucional
TEISA (Transport),@teisa,,Transport
Mossos d'Esquadra,@mossoscatalunya,,Seguretat
Grup MIFAS,@grupmifas,,Social / Discapacitat
FEDAC Salt,@fedacsalt,,Educació
Ateneu Cooperatiu Girona,@ateneucoopgi,,Economia Social
Consorci del Ter,@consorcidelter,,Medi Ambient
Creu Roja Girona,@creurojagirona,,Social / Salut
Caritas Girona,@caritasgirona,,Social
Les Bernardes (Centre d'Art),@lesbernardes,,Cultura
Espriu Salt,@espriusalt,,Cultura
Circ Girona,@circ_girona,,Cultura
SwimFaster CN,@swimfastercn,,Esports
Hoquei Club Salt,@hoqueiclubsalt,,Esports
TV Girona,@tvgirona,,Mitjans de comunicació
Terres Gironines,@terresgironines,,Turisme
Salt a la Fama,@saltalafama,,Cultura
Institut Nolla Sunyer,@inssunyer,,Educació
CPNL Catalunya,@cpnlcat,,Llengua
Diables Pere Botero,@diablesperebotero,,Cultura
IES Vallvera Salt,@iesvallvera_salt,,Educació
Cambra de Comerç de Girona,@cambragirona,,Empresa
Cosidores de Salt,@cosidoresdesalt,,Social / Treball
CAU de Salt,@caudesalt,,Esports
Arxiu Municipal de Salt,@arxiu_salt,,Cultura
Fundació FC Barcelona,@fundaciofcb,,Esports
Departament d'Acció Climàtica (Generalitat),@territori,,Medi Ambient
Departament de Drets Socials (Generalitat),@dsocialscat,,Social
Departament Educació (Generalitat),@educaciocat,,Educació
Departament Cultura (Generalitat),@cultura_cat,,Cultura
Black Music Fest,@blackmusicfest,,Cultura
La Banda del Rec,@labandadelrec,,Cultura
MOU teen bici,@mouteenbici,,Esports / Joventut
Escola de Música Moderna de Girona (EMMG),@lamoderna_emmg,,Cultura / Educació
Bressols Girona,@bressols_girona,,Social
Casal de Jubilats Salt,@casaljubilatssalt,,Gent Gran
Bombers Girona,@bombersgirona_,,Emergències
Casal dels Infants,@casalinfants,,Social
Banc d'Aliments Girona,@bancalimentsgirona,,Social
Oxfam Intermón,@oxfamintermon,,Social
Consell Comarcal la Selva,@ccselva,,Institucional
Consell Comarcal Ripollès,@ccripolles,,Institucional
Consell Comarcal Pla de l'Estany,@ccpladelestany,,Institucional
Consell Comarcal Garrotxa,@ccgarrotxa,,Institucional
Consell Comarcal Baix Empordà,@ccbaixemporda,,Institucional
Consell Comarcal Alt Empordà,@ccaltemporda,,Institucional
Consell de Col·legis de Veterinaris,@ccvc_veterinaris_cat,,Salut Animal
Radio Salt,@rdiosalt,,Mitjans de comunicació
Economia Social Catalunya,@econ_socialcat,,Economia Social
